Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
13060788,TOTENV_1,COUNTRY,COK,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1,1,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060789,TOTENV_1,COUNTRY,CZE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,154,154,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060790,TOTENV_1,COUNTRY,GRC,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,67,67,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060791,TOTENV_1,COUNTRY,GRD,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,5,5,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060792,TOTENV_1,COUNTRY,GTM,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,3 679,3679,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060793,TOTENV_1,COUNTRY,MEX,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,5 845,5845,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060794,TOTENV_1,COUNTRY,MKD,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,24,24,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060795,TOTENV_1,COUNTRY,MWI,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,18 688,18688,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060796,TOTENV_1,COUNTRY,MYS,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1 456,1456,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060797,TOTENV_1,COUNTRY,NIU,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,0,0,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060798,TOTENV_1,COUNTRY,SLB,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,171,171,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060799,TOTENV_1,COUNTRY,SVK,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,49,49,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060800,TOTENV_1,COUNTRY,SWZ,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1 277,1277,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060801,TOTENV_1,COUNTRY,TUV,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,2,2,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060802,TOTENV_1,COUNTRY,UGA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,44 407,44407,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060803,TOTENV_1,COUNTRY,VNM,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,10 706,10706,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060856,TOTENV_1,COUNTRY,BLR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,3 807,3807,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060857,TOTENV_1,COUNTRY,CAN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,3 615,3615,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060858,TOTENV_1,COUNTRY,CHL,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,1 683,1683,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060859,TOTENV_1,COUNTRY,COK,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,5,5,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060860,TOTENV_1,COUNTRY,GTM,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,3 822,3822,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060861,TOTENV_1,COUNTRY,IRL,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,390,390,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060862,TOTENV_1,COUNTRY,KGZ,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,1 034,1034,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060863,TOTENV_1,COUNTRY,MAR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,6 066,6066,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060864,TOTENV_1,COUNTRY,MHL,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,9,9,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060865,TOTENV_1,COUNTRY,MKD,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,176,176,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060866,TOTENV_1,COUNTRY,MLT,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,23,23,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060867,TOTENV_1,COUNTRY,MMR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,18 407,18407,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060868,TOTENV_1,COUNTRY,MYS,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,6 745,6745,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060869,TOTENV_1,COUNTRY,NLD,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,1 288,1288,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060870,TOTENV_1,COUNTRY,NPL,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,8 350,8350,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060871,TOTENV_1,COUNTRY,SAU,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,3 425,3425,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060872,TOTENV_1,COUNTRY,SVK,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,628,628,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060873,TOTENV_1,COUNTRY,SVN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,356,356,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060874,TOTENV_1,COUNTRY,TLS,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,296,296,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060875,TOTENV_1,COUNTRY,UGA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,20 469,20469,,,,2016-03-09T14:05:37Z,2012,2012-01-01,2012-12-31
13060935,TOTENV_1,COUNTRY,CHL,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,9 337,9337,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060936,TOTENV_1,COUNTRY,CIV,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,14 589,14589,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060937,TOTENV_1,COUNTRY,DZA,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,24 914,24914,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060938,TOTENV_1,COUNTRY,HRV,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,7 144,7144,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060939,TOTENV_1,COUNTRY,MLT,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,446,446,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060940,TOTENV_1,COUNTRY,MWI,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,9 165,9165,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060941,TOTENV_1,COUNTRY,PLW,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,8,8,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060942,TOTENV_1,COUNTRY,SAU,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,14 242,14242,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060943,TOTENV_1,COUNTRY,SRB,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,16 520,16520,,,,2016-03-09T14:05:40Z,2012,2012-01-01,2012-12-31
13060944,TOTENV_1,COUNTRY,SWZ,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,590,590,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060945,TOTENV_1,COUNTRY,TLS,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,651,651,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060946,TOTENV_1,COUNTRY,UGA,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,17 422,17422,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13061018,TOTENV_1,COUNTRY,ARE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,82,82,,,,2016-03-09T14:05:44Z,2012,2012-01-01,2012-12-31
13061019,TOTENV_1,COUNTRY,BDI,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,17 019,17019,,,,2016-03-09T14:05:44Z,2012,2012-01-01,2012-12-31
13061020,TOTENV_1,COUNTRY,BEN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,11 815,11815,,,,2016-03-09T14:05:44Z,2012,2012-01-01,2012-12-31
13061021,TOTENV_1,COUNTRY,BFA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,24 035,24035,,,,2016-03-09T14:05:44Z,2012,2012-01-01,2012-12-31
13061022,TOTENV_1,COUNTRY,CAN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,503,503,,,,2016-03-09T14:05:44Z,2012,2012-01-01,2012-12-31
