Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
13060775,TOTENV_3,COUNTRY,ARG,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,150 200,150200,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060776,TOTENV_3,COUNTRY,BEN,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1 063 310,1063310,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060777,TOTENV_3,COUNTRY,BGD,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,3 844 616,3844616,,,,2016-03-09T14:05:30Z,2012,2012-01-01,2012-12-31
13060778,TOTENV_3,COUNTRY,CHE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,4 832,4832,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060779,TOTENV_3,COUNTRY,DNK,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,4 248,4248,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060780,TOTENV_3,COUNTRY,KHM,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,458 948,458948,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060781,TOTENV_3,COUNTRY,MKD,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,2 950,2950,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060782,TOTENV_3,COUNTRY,MMR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1 652 908,1652908,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060783,TOTENV_3,COUNTRY,NPL,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,762 892,762892,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060784,TOTENV_3,COUNTRY,PNG,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,391 337,391337,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060785,TOTENV_3,COUNTRY,SOM,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1 987 711,1987711,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060786,TOTENV_3,COUNTRY,SWE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,7 027,7027,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060787,TOTENV_3,COUNTRY,UKR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,139 801,139801,,,,2016-03-09T14:05:31Z,2012,2012-01-01,2012-12-31
13060839,TOTENV_3,COUNTRY,BRN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,2 172,2172,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060840,TOTENV_3,COUNTRY,CHL,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,102 867,102867,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060841,TOTENV_3,COUNTRY,CIV,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,730 661,730661,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060842,TOTENV_3,COUNTRY,DZA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,520 484,520484,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060843,TOTENV_3,COUNTRY,HRV,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,34 175,34175,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060844,TOTENV_3,COUNTRY,KHM,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,296 734,296734,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060845,TOTENV_3,COUNTRY,LCA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,3 959,3959,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060846,TOTENV_3,COUNTRY,LKA,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,338 468,338468,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060847,TOTENV_3,COUNTRY,MAR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,434 726,434726,,,,2016-03-09T14:05:35Z,2012,2012-01-01,2012-12-31
13060848,TOTENV_3,COUNTRY,MNE,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,5 078,5078,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060849,TOTENV_3,COUNTRY,MYS,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,377 679,377679,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060850,TOTENV_3,COUNTRY,SAU,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,245 271,245271,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060851,TOTENV_3,COUNTRY,SEN,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,246 998,246998,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060852,TOTENV_3,COUNTRY,SOM,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,408 945,408945,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060853,TOTENV_3,COUNTRY,SSD,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,373 911,373911,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060854,TOTENV_3,COUNTRY,SWZ,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,35 647,35647,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060855,TOTENV_3,COUNTRY,UZB,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,351 320,351320,,,,2016-03-09T14:05:36Z,2012,2012-01-01,2012-12-31
13060910,TOTENV_3,COUNTRY,AGO,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,615 893,615893,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
13060911,TOTENV_3,COUNTRY,BRN,YEAR,2012,ENVCAUSE,ENVCAUSE060,,,,,,,7 268,7268,,,,2016-03-09T14:05:39Z,2012,2012-01-01,2012-12-31
