Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
13061582,TOTENV_5,COUNTRY,ARG,YEAR,2012,,,,,,,,,13,0.13,,,,2016-03-09T14:06:11Z,2012,2012-01-01,2012-12-31
13062018,TOTENV_5,COUNTRY,AGO,YEAR,2012,,,,,,,,,26,0.26,,,,2016-03-09T14:06:29Z,2012,2012-01-01,2012-12-31
13062019,TOTENV_5,COUNTRY,BDI,YEAR,2012,,,,,,,,,26,0.26,,,,2016-03-09T14:06:29Z,2012,2012-01-01,2012-12-31
13062035,TOTENV_5,COUNTRY,BFA,YEAR,2012,,,,,,,,,26,0.26,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062036,TOTENV_5,COUNTRY,BHR,YEAR,2012,,,,,,,,,16,0.16,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062037,TOTENV_5,COUNTRY,BRB,YEAR,2012,,,,,,,,,11,0.11,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062038,TOTENV_5,COUNTRY,BRN,YEAR,2012,,,,,,,,,12,0.12,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062039,TOTENV_5,COUNTRY,CHL,YEAR,2012,,,,,,,,,12,0.12,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062040,TOTENV_5,COUNTRY,CIV,YEAR,2012,,,,,,,,,22,0.22,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062041,TOTENV_5,COUNTRY,CRI,YEAR,2012,,,,,,,,,15,0.15,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062042,TOTENV_5,COUNTRY,DNK,YEAR,2012,,,,,,,,,10,0.1,,,,2016-03-09T14:06:30Z,2012,2012-01-01,2012-12-31
13062043,TOTENV_5,COUNTRY,FIN,YEAR,2012,,,,,,,,,11,0.11,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062044,TOTENV_5,COUNTRY,MWI,YEAR,2012,,,,,,,,,22,0.22,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062045,TOTENV_5,COUNTRY,SDN,YEAR,2012,,,,,,,,,23,0.23,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062046,TOTENV_5,COUNTRY,SMR,YEAR,2012,,,,,,,,,7,0.07,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062047,TOTENV_5,COUNTRY,SYR,YEAR,2012,,,,,,,,,13,0.13,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062048,TOTENV_5,COUNTRY,TLS,YEAR,2012,,,,,,,,,23,0.23,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062049,TOTENV_5,COUNTRY,TON,YEAR,2012,,,,,,,,,13,0.13,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062050,TOTENV_5,COUNTRY,UKR,YEAR,2012,,,,,,,,,20,0.2,,,,2016-03-09T14:06:31Z,2012,2012-01-01,2012-12-31
13062122,TOTENV_5,COUNTRY,CMR,YEAR,2012,,,,,,,,,22,0.22,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062123,TOTENV_5,COUNTRY,DZA,YEAR,2012,,,,,,,,,17,0.17,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062124,TOTENV_5,COUNTRY,KHM,YEAR,2012,,,,,,,,,25,0.25,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062125,TOTENV_5,COUNTRY,MMR,YEAR,2012,,,,,,,,,25,0.25,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062126,TOTENV_5,COUNTRY,MNE,YEAR,2012,,,,,,,,,19,0.19,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062127,TOTENV_5,COUNTRY,NPL,YEAR,2012,,,,,,,,,25,0.25,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062128,TOTENV_5,COUNTRY,PLW,YEAR,2012,,,,,,,,,12,0.12,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062129,TOTENV_5,COUNTRY,SAU,YEAR,2012,,,,,,,,,20,0.2,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062130,TOTENV_5,COUNTRY,SRB,YEAR,2012,,,,,,,,,15,0.15,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062131,TOTENV_5,COUNTRY,SSD,YEAR,2012,,,,,,,,,22,0.22,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062132,TOTENV_5,COUNTRY,SWE,YEAR,2012,,,,,,,,,10,0.1,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062133,TOTENV_5,COUNTRY,SWZ,YEAR,2012,,,,,,,,,17,0.17,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062134,TOTENV_5,COUNTRY,TUN,YEAR,2012,,,,,,,,,18,0.18,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062135,TOTENV_5,COUNTRY,UZB,YEAR,2012,,,,,,,,,24,0.24,,,,2016-03-09T14:06:34Z,2012,2012-01-01,2012-12-31
13062222,TOTENV_5,COUNTRY,BEN,YEAR,2012,,,,,,,,,25,0.25,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062223,TOTENV_5,COUNTRY,BIH,YEAR,2012,,,,,,,,,27,0.27,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062224,TOTENV_5,COUNTRY,COL,YEAR,2012,,,,,,,,,17,0.17,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062225,TOTENV_5,COUNTRY,DEU,YEAR,2012,,,,,,,,,11,0.11,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062226,TOTENV_5,COUNTRY,FSM,YEAR,2012,,,,,,,,,14,0.14,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062227,TOTENV_5,COUNTRY,GRD,YEAR,2012,,,,,,,,,14,0.14,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062228,TOTENV_5,COUNTRY,MEX,YEAR,2012,,,,,,,,,14,0.14,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062229,TOTENV_5,COUNTRY,MKD,YEAR,2012,,,,,,,,,17,0.17,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062230,TOTENV_5,COUNTRY,MNG,YEAR,2012,,,,,,,,,27,0.27,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062231,TOTENV_5,COUNTRY,NIU,YEAR,2012,,,,,,,,,12,0.12,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062232,TOTENV_5,COUNTRY,SLE,YEAR,2012,,,,,,,,,24,0.24,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062233,TOTENV_5,COUNTRY,SVN,YEAR,2012,,,,,,,,,13,0.13,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062234,TOTENV_5,COUNTRY,TGO,YEAR,2012,,,,,,,,,24,0.24,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062235,TOTENV_5,COUNTRY,TUV,YEAR,2012,,,,,,,,,13,0.13,,,,2016-03-09T14:06:38Z,2012,2012-01-01,2012-12-31
13062307,TOTENV_5,COUNTRY,BGD,YEAR,2012,,,,,,,,,23,0.23,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062308,TOTENV_5,COUNTRY,CHE,YEAR,2012,,,,,,,,,12,0.12,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062309,TOTENV_5,COUNTRY,CUB,YEAR,2012,,,,,,,,,15,0.15,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062310,TOTENV_5,COUNTRY,HRV,YEAR,2012,,,,,,,,,16,0.16,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062311,TOTENV_5,COUNTRY,KGZ,YEAR,2012,,,,,,,,,24,0.24,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062312,TOTENV_5,COUNTRY,LCA,YEAR,2012,,,,,,,,,15,0.15,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062313,TOTENV_5,COUNTRY,MAR,YEAR,2012,,,,,,,,,16,0.16,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062314,TOTENV_5,COUNTRY,MLT,YEAR,2012,,,,,,,,,16,0.16,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
13062315,TOTENV_5,COUNTRY,MYS,YEAR,2012,,,,,,,,,18,0.18,,,,2016-03-09T14:06:41Z,2012,2012-01-01,2012-12-31
