Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
13060947,TOTENV_6,COUNTRY,BDI,YEAR,2012,,,,,,,,,27,0.27,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060948,TOTENV_6,COUNTRY,BFA,YEAR,2012,,,,,,,,,26,0.26,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060949,TOTENV_6,COUNTRY,BGD,YEAR,2012,,,,,,,,,22,0.22,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060950,TOTENV_6,COUNTRY,BLR,YEAR,2012,,,,,,,,,19,0.19,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060951,TOTENV_6,COUNTRY,COK,YEAR,2012,,,,,,,,,15,0.15,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060952,TOTENV_6,COUNTRY,DJI,YEAR,2012,,,,,,,,,17,0.17,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060953,TOTENV_6,COUNTRY,GRD,YEAR,2012,,,,,,,,,16,0.16,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060954,TOTENV_6,COUNTRY,IRL,YEAR,2012,,,,,,,,,14,0.14,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060955,TOTENV_6,COUNTRY,JPN,YEAR,2012,,,,,,,,,13,0.13,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060956,TOTENV_6,COUNTRY,MKD,YEAR,2012,,,,,,,,,17,0.17,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
13060957,TOTENV_6,COUNTRY,NOR,YEAR,2012,,,,,,,,,12,0.12,,,,2016-03-09T14:05:41Z,2012,2012-01-01,2012-12-31
