Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
13060747,TOTENV_4,COUNTRY,CMR,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,8 659,8659.37461,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060748,TOTENV_4,COUNTRY,CYP,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,50,50.14587,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060749,TOTENV_4,COUNTRY,CZE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,80,80.16813,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060750,TOTENV_4,COUNTRY,GRC,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,73,73.27666,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060751,TOTENV_4,COUNTRY,LCA,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,420,419.56619,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060752,TOTENV_4,COUNTRY,MNE,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,168,168.23178,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060753,TOTENV_4,COUNTRY,NIU,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,1 409,1408.97718,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060754,TOTENV_4,COUNTRY,QAT,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,178,178.35914,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060755,TOTENV_4,COUNTRY,SLB,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,2 253,2253.28599,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060756,TOTENV_4,COUNTRY,TGO,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,8 359,8359.15152,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060757,TOTENV_4,COUNTRY,UZB,YEAR,2012,ENVCAUSE,ENVCAUSE001,,,,,,,995,994.58192,,,,2016-03-09T14:05:29Z,2012,2012-01-01,2012-12-31
13060804,TOTENV_4,COUNTRY,ARE,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,659,658.53942,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
13060805,TOTENV_4,COUNTRY,BHR,YEAR,2012,ENVCAUSE,ENVCAUSE151,,,,,,,614,614.2037,,,,2016-03-09T14:05:32Z,2012,2012-01-01,2012-12-31
